Sentence,affect,posemo,negemo
66,6,2,2
70,2,1,1
83,1,0,1
84,3,3,0
90,1,1,0
96,3,1,2
98,2,2,0
99,1,1,0
102,1,1,0
107,1,0,1
110,3,3,0
111,4,4,0
112,1,1,0
115,1,1,0
118,1,0,1
120,1,0,1
121,3,3,0
122,2,1,1
124,1,0,0
127,3,1,1
129,1,1,0
131,2,1,1
132,2,2,0
134,2,1,0
137,1,1,0
138,3,0,3
139,6,1,2
147,1,1,0
148,2,1,1
472,1,1,0
473,6,6,0
479,1,1,0
480,1,1,0
482,2,1,1
526,1,1,0
536,2,2,0
551,1,1,0
553,3,3,0
555,3,1,2
556,1,1,0
558,1,0,1
560,1,1,0
563,2,1,0
565,1,1,0
568,1,0,1
573,1,1,0
588,1,0,1
589,1,0,1
591,2,1,1
601,2,1,1
603,4,4,0
604,5,4,1
613,2,1,1
614,2,1,1
615,2,1,1
618,1,0,1
620,1,1,0
622,2,1,1
623,2,0,2
626,2,2,0
628,2,1,1
629,1,0,1
797,1,1,0
803,1,0,1
808,1,1,0
811,2,1,1
812,4,2,2
892,1,1,0
895,1,0,1
909,1,1,0
930,1,0,1
1010,4,2,1
1021,1,1,0
1024,2,2,0
